Date,Clicks,Impressions
2023-07-22,743,28933
2023-07-23,865,31266
2023-07-24,1008,35268
2023-07-25,1048,38100
2023-07-26,1194,35852
2023-07-27,1015,33726
2023-07-28,957,33822
2023-07-29,731,30925
2023-07-30,831,33740
2023-07-31,1018,38053
2023-08-01,941,42188
2023-08-02,1043,39455
2023-08-03,1145,37609
2023-08-04,965,35291
2023-08-05,784,31795
2023-08-06,814,33278
2023-08-07,1004,36657
2023-08-08,1090,37395
2023-08-09,1150,43255
2023-08-10,1120,37063
2023-08-11,1051,37240
2023-08-12,745,32595
2023-08-13,760,33569
2023-08-14,958,35400
2023-08-15,1004,35245
2023-08-16,1130,38000
2023-08-17,1028,37658
2023-08-18,978,38001
2023-08-19,809,33983
2023-08-20,785,34893
2023-08-21,951,39423
2023-08-22,978,38982
2023-08-23,984,37432
2023-08-24,906,37395
2023-08-25,907,40229
2023-08-26,762,34549
2023-08-27,920,35990
2023-08-28,1108,41454
2023-08-29,1068,41925
2023-08-30,1006,38905
2023-08-31,988,37849
2023-09-01,880,36346
2023-09-02,720,32248
2023-09-03,811,37947
2023-09-04,780,36551
2023-09-05,955,39609
2023-09-06,1030,39777
2023-09-07,1003,37479
2023-09-08,878,35566
2023-09-09,753,33400
2023-09-10,778,34072
2023-09-11,1024,38776
2023-09-12,943,37520
2023-09-13,1024,38915
2023-09-14,1033,38455
2023-09-15,1029,36378
2023-09-16,790,34042
2023-09-17,801,34835
2023-09-18,1080,38644
2023-09-19,1104,38823
2023-09-20,1050,39517
2023-09-21,1067,39642
2023-09-22,1012,38686
2023-09-23,788,35013
2023-09-24,831,35191
2023-09-25,1067,40000
2023-09-26,1070,40367
2023-09-27,1124,40995
2023-09-28,1048,37579
2023-09-29,948,36287
2023-09-30,689,32579
2023-10-01,748,33042
2023-10-02,1000,36940
2023-10-03,1018,37992
2023-10-04,1033,39355
2023-10-05,935,49893
2023-10-06,917,52644
2023-10-07,728,55342
2023-10-08,715,52648
2023-10-09,872,50623
2023-10-10,1040,49971
2023-10-11,1056,45345
2023-10-12,1084,42018
2023-10-13,985,40310
2023-10-14,782,38162
2023-10-15,775,39662
2023-10-16,1124,44685
2023-10-17,1156,46221
2023-10-18,1045,45871
2023-10-19,1130,45284
2023-10-20,1057,43579
2023-10-21,926,39867
2023-10-22,913,40535
2023-10-23,1126,41409
2023-10-24,1168,44059
2023-10-25,1182,46104
2023-10-26,1190,43221
2023-10-27,1075,45594
2023-10-28,852,41567
2023-10-29,828,39650
2023-10-30,1059,44709
2023-10-31,1026,39530
2023-11-01,1171,40976
2023-11-02,1193,42897
2023-11-03,1044,41270
2023-11-04,853,40066
2023-11-05,904,38876
2023-11-06,1368,42640
2023-11-07,2932,48736
2023-11-08,2274,45989
2023-11-09,1104,41613
2023-11-10,1005,40359
2023-11-11,779,35988
2023-11-12,821,34452
2023-11-13,1084,39693
2023-11-14,1053,39926
2023-11-15,1092,64454
2023-11-16,923,65834
2023-11-17,867,60862
2023-11-18,797,54695
2023-11-19,759,49615
2023-11-20,884,49220
2023-11-21,861,50374
2023-11-22,851,40732
2023-11-23,618,42082
2023-11-24,701,38409
2023-11-25,732,43130
2023-11-26,735,41307
2023-11-27,919,44130
2023-11-28,1083,43326
2023-11-29,1026,44114
2023-11-30,1072,40496
2023-12-01,970,46139
2023-12-02,873,46043
2023-12-03,806,42115
2023-12-04,1027,40864
2023-12-05,1507,40944
2023-12-06,1449,52477
2023-12-07,1230,38923
2023-12-08,1090,39742
2023-12-09,959,37904
2023-12-10,1062,38843
2023-12-11,1154,40403
2023-12-12,1070,38368
2023-12-13,1039,37581
2023-12-14,938,34296
2023-12-15,948,33360
2023-12-16,767,30662
2023-12-17,839,33373
2023-12-18,1018,37630
2023-12-19,996,36653
2023-12-20,1239,37992
2023-12-21,1000,45852
2023-12-22,960,35634
2023-12-23,775,37781
2023-12-24,751,42217
2023-12-25,585,30486
2023-12-26,899,27686
2023-12-27,933,28392
2023-12-28,861,29176
2023-12-29,846,27135
2023-12-30,757,24782
2023-12-31,669,25166
2024-01-01,711,24430
2024-01-02,911,29861
2024-01-03,1003,35696
2024-01-04,973,35911
2024-01-05,1023,35011
2024-01-06,823,28759
2024-01-07,739,30763
2024-01-08,967,33995
2024-01-09,1007,35051
2024-01-10,1025,33074
2024-01-11,1100,33719
2024-01-12,961,29177
2024-01-13,767,25680
2024-01-14,745,25303
2024-01-15,865,29126
2024-01-16,991,31447
2024-01-17,1033,29954
2024-01-18,1129,31056
2024-01-19,1040,30604
2024-01-20,1015,28491
2024-01-21,909,28810
2024-01-22,1235,33046
2024-01-23,1164,31996
2024-01-24,1245,32877
2024-01-25,1174,31674
2024-01-26,1055,29657
2024-01-27,915,26308
2024-01-28,878,26297
2024-01-29,1090,31971
2024-01-30,1053,30609
2024-01-31,1087,31375
2024-02-01,980,32372
2024-02-02,926,32002
2024-02-03,719,26458
2024-02-04,765,26730
2024-02-05,1157,32904
2024-02-06,1277,32950
2024-02-07,1178,32464
2024-02-08,947,31048
2024-02-09,933,29411
2024-02-10,749,25785
2024-02-11,730,23823
2024-02-12,917,26685
2024-02-13,998,27095
2024-02-14,965,25112
2024-02-15,1000,28181
2024-02-16,898,26863
2024-02-17,718,23303
2024-02-18,824,24023
2024-02-19,883,26301
2024-02-20,994,28177
2024-02-21,1095,30426
2024-02-22,985,28701
2024-02-23,956,32865
2024-02-24,836,27835
2024-02-25,919,25599
2024-02-26,912,29045
2024-02-27,932,41116
2024-02-28,978,36670
2024-02-29,956,31822
2024-03-01,875,32605
2024-03-02,711,23856
2024-03-03,749,24845
2024-03-04,1121,29417
2024-03-05,1087,29954
2024-03-06,1084,30438
2024-03-07,920,30027
2024-03-08,827,26719
2024-03-09,971,22858
2024-03-10,948,21552
2024-03-11,1044,25969
2024-03-12,1158,29224
2024-03-13,1016,29351
2024-03-14,933,27523
2024-03-15,888,30437
2024-03-16,750,23930
2024-03-17,813,24463
2024-03-18,963,27609
2024-03-19,965,28953
2024-03-20,978,29436
2024-03-21,899,27950
2024-03-22,956,27030
2024-03-23,729,24469
2024-03-24,750,25314
2024-03-25,982,27726
2024-03-26,1071,29799
2024-03-27,981,29257
2024-03-28,984,30433
2024-03-29,945,28811
2024-03-30,1122,30011
2024-03-31,983,32157
2024-04-01,1223,31642
2024-04-02,1004,30930
2024-04-03,981,31238
2024-04-04,975,30080
2024-04-05,847,27451
2024-04-06,715,24316
2024-04-07,729,24470
2024-04-08,966,28995
2024-04-09,1048,29899
2024-04-10,973,29045
2024-04-11,1086,29431
2024-04-12,1024,29968
2024-04-13,775,26034
2024-04-14,777,25713
2024-04-15,1038,29456
2024-04-16,1337,31968
2024-04-17,1227,31298
2024-04-18,1071,29442
2024-04-19,946,28415
2024-04-20,784,24801
2024-04-21,802,24792
2024-04-22,1029,30193
2024-04-23,1055,30452
2024-04-24,1068,31689
2024-04-25,947,28081
2024-04-26,951,27058
2024-04-27,804,28967
2024-04-28,867,24481
2024-04-29,953,28747
2024-04-30,1049,32334
2024-05-01,1002,30033
2024-05-02,1088,30737
2024-05-03,915,30322
2024-05-04,722,28167
2024-05-05,734,27771
2024-05-06,887,32775
2024-05-07,961,32009
2024-05-08,905,32030
2024-05-09,980,31553
2024-05-10,904,28688
2024-05-11,654,23562
2024-05-12,686,23612
2024-05-13,975,29397
2024-05-14,1074,32321
2024-05-15,949,32327
2024-05-16,959,29468
2024-05-17,972,28567
2024-05-18,752,24797
2024-05-19,768,26154
2024-05-20,1019,31651
2024-05-21,1230,31368
2024-05-22,1107,28542
2024-05-23,899,27410
2024-05-24,828,26873
2024-05-25,672,24740
2024-05-26,764,26356
2024-05-27,829,26893
2024-05-28,915,28087
2024-05-29,1024,29200
2024-05-30,899,27362
2024-05-31,863,27479
2024-06-01,767,27149
2024-06-02,843,27375
2024-06-03,1050,31565
2024-06-04,1086,30644
2024-06-05,978,29831
2024-06-06,1004,30585
2024-06-07,1072,30227
2024-06-08,740,25868
2024-06-09,791,27502
2024-06-10,1066,32048
2024-06-11,1071,29745
2024-06-12,931,28840
2024-06-13,917,29753
2024-06-14,820,28453
2024-06-15,755,26171
2024-06-16,765,26982
2024-06-17,1127,30235
2024-06-18,1118,30672
2024-06-19,1064,30116
2024-06-20,1227,30386
2024-06-21,1020,28842
2024-06-22,851,27445
2024-06-23,820,27178
2024-06-24,1052,31364
2024-06-25,963,30459
2024-06-26,993,29317
2024-06-27,856,26145
2024-06-28,811,26394
2024-06-29,802,27261
2024-06-30,809,25611
2024-07-01,907,29121
2024-07-02,1075,33672
2024-07-03,1904,40857
2024-07-04,2801,51412
2024-07-05,961,28991
2024-07-06,749,26712
2024-07-07,739,28313
2024-07-08,947,32226
2024-07-09,946,30664
2024-07-10,898,31510
2024-07-11,914,31528
2024-07-12,825,29227
2024-07-13,656,26396
2024-07-14,677,26904
2024-07-15,917,30310
2024-07-16,895,29920
2024-07-17,840,29509
2024-07-18,868,29144
2024-07-19,827,27413
2024-07-20,760,26288
2024-07-21,743,28336
2024-07-22,894,29530
2024-07-23,907,29737
2024-07-24,863,29845
2024-07-25,971,30156
2024-07-26,803,28857
2024-07-27,674,26912
2024-07-28,823,28837
2024-07-29,908,32113
2024-07-30,936,32680
2024-07-31,900,32797
2024-08-01,881,32452
2024-08-02,888,31344
2024-08-03,745,29876
2024-08-04,931,35627
2024-08-05,1131,38287
2024-08-06,1126,38871
2024-08-07,1139,36545
2024-08-08,1178,36366
2024-08-09,1045,34180
2024-08-10,906,29726
2024-08-11,838,28719
2024-08-12,1079,32246
2024-08-13,1126,35488
2024-08-14,1040,35593
2024-08-15,1031,37353
2024-08-16,1021,35468
2024-08-17,817,31867
2024-08-18,809,32015
2024-08-19,981,36825
2024-08-20,951,35540
2024-08-21,963,37453
2024-08-22,1459,38992
2024-08-23,1247,35820
2024-08-24,972,29856
2024-08-25,897,31510
2024-08-26,1137,36393
2024-08-27,1175,36758
2024-08-28,1047,51685
2024-08-29,1132,43570
2024-08-30,1005,34634
2024-08-31,1260,33804
2024-09-01,1123,37458
2024-09-02,1071,42230
2024-09-03,1230,60773
2024-09-04,1225,50337
2024-09-05,1736,60742
2024-09-06,1439,47315
2024-09-07,1123,38992
2024-09-08,1004,42361
2024-09-09,1185,45614
2024-09-10,1149,44886
2024-09-11,1132,42186
2024-09-12,1379,43097
2024-09-13,1174,41098
2024-09-14,869,33450
2024-09-15,901,35837
2024-09-16,1233,47497
2024-09-17,1210,46128
2024-09-18,1288,45439
2024-09-19,1410,46175
2024-09-20,1435,45429
2024-09-21,1342,42653
2024-09-22,1584,45247
2024-09-23,1857,50385
2024-09-24,1892,49375
2024-09-25,2003,48002
2024-09-26,1878,51148
2024-09-27,1711,49740
2024-09-28,1560,45787
2024-09-29,1701,44210
2024-09-30,2095,52633
2024-10-01,1596,47538
2024-10-02,1516,45399
2024-10-03,1352,36838
2024-10-04,969,31776
2024-10-05,835,26981
2024-10-06,884,29084
2024-10-07,1125,46421
2024-10-08,1061,34831
2024-10-09,1091,31607
2024-10-10,1091,32367
2024-10-11,978,29359
2024-10-12,899,26718
2024-10-13,900,26856
2024-10-14,1240,31101
2024-10-15,1222,31788
2024-10-16,1302,33310
2024-10-17,1246,32644
2024-10-18,1128,30685
2024-10-19,930,26643
2024-10-20,1101,29751
2024-10-21,1375,36016
2024-10-22,1281,34737
2024-10-23,1138,33058
2024-10-24,1117,32134
2024-10-25,1208,32526
2024-10-26,1160,33071
2024-10-27,979,29009
2024-10-28,1124,28589
2024-10-29,1060,28764
2024-10-30,1126,31081
2024-10-31,1060,28384
2024-11-01,922,26726
2024-11-02,757,22165
2024-11-03,976,24520
2024-11-04,1143,30393
2024-11-05,3451,113649
2024-11-06,2590,66020
2024-11-07,1303,28055
2024-11-08,1068,24991
2024-11-09,859,21821
2024-11-10,912,24488
2024-11-11,1004,26376
2024-11-12,971,26888
2024-11-13,936,25527
2024-11-14,921,28024
2024-11-15,1033,23933
2024-11-16,799,20675
2024-11-17,713,24038
2024-11-18,896,28654
2024-11-19,979,31309
2024-11-20,931,34906
2024-11-21,853,25821
